Name, BaseDamage, BaseDamageType, AreaDamageType, DetDamageType, ShieldDamageType, LargeGridModifier, SmallGridModifier, ArmorModifier, LightArmorModifier, HeavyArmorModifier, NonArmorModifier, ShieldsModifier, ShieldBypass, FragmentName, FragmentQuanty, FragmentDegrees, BBHRadius, BBHDamage, BBHDepth, BBHMaxAbsorb, BBHFalloff, EOLRadius, EOLDamage, EOLDepth, EOLMaxAbsorb, EOLFalloff, AccelPerSec, MaxSpeed, MaxTrajectory, MaxLifeTime
25mm NATO, 90, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 400, 800, 300
25mm NATO, 90, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 400, 800, 300
25mm NATO, 90, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 400, 800, 300
25mm NATO, 90, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 400, 800, 300
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 4, 500, 1, 0, Linear, 600, 200, 800, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 4, 500, 1, 0, Linear, 600, 200, 800, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 4, 500, 1, 0, Linear, 600, 200, 800, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 4, 500, 1, 0, Linear, 600, 200, 800, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 4, 500, 1, 0, Linear, 600, 200, 800, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 4, 500, 1, 0, Linear, 600, 200, 800, 1200
MR-50A, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.3, 0.1, -1, 0.2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 400, 100
5.56x45mm, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.3, 0.1, -1, 0.2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 400, 100
Autocannon Shell, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 400, 800, 420
Autocannon Shell, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 400, 800, 420
Assault Cannon Shell, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 500, 1400, 480
Assault Cannon Shell, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 500, 1400, 480
Assault Cannon Shell, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 500, 1400, 480
Artillery Shell, 17000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 500, 2000, 600
Artillery Shell, 17000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 500, 2000, 600
Large Railgun Slug, 50000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 2000, 2000, 300
Small Railgun Slug, 8000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 1400, 300
SpotLight, 0, Energy, Energy, Energy, Energy, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 3000, 3600
SpotLight, 0, Energy, Energy, Energy, Energy, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 3000, 3600
Peacemaker Heavy Rockets, 5000, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2.2, -1.1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 9, 12500, 3.5, 0, Linear, 0, 1000, 5000, 200
Priest_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.5, 2, -1, 3, -1, MagicFragment, 0, 15, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 3500, 2000, 900
Torp_Ammo, 1, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -1.3, TorpShrap_Ammo, 1, 0, 0, 0, 0, 0, NoFallOff, 1, 0.4, 1, 0, Pooled, 300, 90, 10000, 200
TorpShrap_Ammo, 1, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -1.3, None, 0, 0, 0, 0, 0, 0, NoFallOff, 8, 10000, 4, 0, Linear, 100, 300, 10000, 2200
Priest_Ammo, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.5, 2, -1, 3, -1, MagicFragment, 0, 15, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 3500, 2000, 900
Type18 HE Round, 2500, Kinetic, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -1, MagicFragment, 100, 15, 0, 0, 0, 0, NoFallOff, 8, 5000, 3, 0, Linear, 0, 2000, 3000, 500
Type21 HE Round, 3000, Kinetic, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -1, MagicFragment, 100, 15, 0, 0, 0, 0, NoFallOff, 10, 7000, 3, 0, Linear, 0, 2500, 4000, 500
Type24 HE Round, 4000, Kinetic, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -1, MagicFragment, 100, 15, 0, 0, 0, 0, NoFallOff, 10, 12500, 0, 0, Linear, 0, 3000, 5000, 500
Type78 Round, 30000, Kinetic, Energy, Energy, Energy, -1, -1, -1, -1, -1, 1.5, 2, -1, MagicFragment, 100, 15, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 4000, 5000, 500
Type77 Round, 20000, Kinetic, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -1, MagicFragment, 100, 15, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 3500, 4000, 500
Type79 Round, 45000, Kinetic, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 4500, 6000, 500
Reaver Ammo, 1750, Kinetic, Energy, Energy, Kinetic, -1, -1, -1, -1, -1, -1, 3.5, -1, MagicFragment, 100, 15, 0, 0, 0, 0, NoFallOff, 6, 500, 1, 0, Linear, 0, 1000, 3000, 1800
MA_Laser_1, 50, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_1, 50, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_1, 50, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_1, 50, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_1, 50, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_1, 50, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_1, 50, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
MA_Laser_T2_Ammo_Decal, 0, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 2, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 4000, 0
MA_Laser_T2_Ammo, 125, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 4, -2, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 2000, 0
