WeaponName, Quantity, TotalDamage, PrimaryDamage, AOEDamage, ShieldDamage, ProjectileDamage
Heavy Bombardment Rockets, 3, 37411603, 1046616, 23508088, 12856899, 0
Type 18 Heavy Turret, 12, 19577718, 925438, 17943939, 708341, 0
Type 78 Railgun Turret, 2, 4007114, 2726401, 0, 1280713, 0
Reaver Coilgun, 4, 22316244, 4478679, 4626948, 13210617, 0
T2PDX, 8, 6657956, 1805491, 0, 4852340, 125
T2PDX, 12, 11028076, 139782, 0, 10880572, 7722
T2PDX, 18, 13641220, 3865827, 0, 9774980, 413
Gimbal Laser T2, 6, 3939203, 3267845, 0, 671160, 198
Gladius Laser, 10, 11279278, 4123398, 0, 7155880, 0
Crouching Tiger 150mm, 54, 39376287, 30505277, 5655, 8865355, 0
T4 Guardian, 6, 10176920, 585586, 0, 9591334, 0
Derecho Missile Storm, 20, 11032980, 3454022, 4510468, 3068490, 0
Erebos, 2, 12498553, 417678, 3862379, 8206543, 11953
12-GA, 1, 39961603, 9245501, 313, 30715789, 0
Taiidan Bomber Hangar Bay, 2, 1000000, 200000, 0, 800000, 0
Taiidan Fighter Hangar Bay, 4, 38889765, 3009572, 29746000, 6128441, 5752
Extra Large Afterburner, 1, 1500, 1500, 0, 0, 0
