GridName, MainOwner, TotalDamage, PrimaryDamage, AOEDamage, ShieldDamage, ProjectileDamage
KST Tessarius Mk2 GT3, Invalid, 244572, 0, 0, 244572, 0
KST Tessarius Mk2 GT3, Invalid, 932214, 22331, 0, 907488, 2395
#EntityCover, , 19766675, 1368013, 17921000, 471910, 5752
#EntityCover, , 20123090, 1841559, 11825000, 6456531, 0
KST Tessarius Mk2 GT3, , 59985206, 9944288, 313, 50035635, 4970
CYB - Berzerker GT500 3.18, , 76235014, 8670874, 31997415, 35554772, 11953
ZerkAI, , 15472681, 4279713, 947914, 10244856, 198
LamAI, , 2381927, 1448146, 933226, 0, 555
HermesAI, , 14551270, 3378622, 1651713, 9520913, 22
ZerkAI, , 26173204, 17795841, 8377363, 0, 0
HermesAI, , 3116981, 2729248, 331285, 56236, 212
HermesAI, , 19582776, 3297176, 1011059, 15274541, 0
HermesAI, , 2983087, 2399796, 583185, 0, 106
ZerkAI, , 21247323, 12623006, 8624317, 0, 0
